uid,等级,渠道,ip地址
1010816,1,mnwwest,"177.247.122.100, 130.176.4.94"
1011416,1,mnwwest,"107.122.225.130, 15.158.29.74"
1001017,1,mnwwestios,"184.167.214.183, 64.252.140.15"
1003617,1,mnwwest,"82.155.88.66, 64.252.170.158"
1003817,1,mnwwest,"186.132.83.141, 15.158.37.50"
1003917,1,mnwwest,"190.138.174.186, 130.176.220.5"
1005017,1,mnwwest,"175.144.41.35, 130.176.7.94"
1008817,1,mnwwest,"181.97.230.106, 130.176.220.37"
1009017,1,mnwwest,"142.165.171.187, 15.158.4.39"
1009917,1,mnwwest,"138.185.214.37, 15.158.19.167"
1010017,1,mnwwest,"188.250.246.16, 64.252.170.83"
1001418,1,mnwwest,"121.123.244.236, 130.176.7.94"
1002018,1,mnwwest,"202.190.125.117, 130.176.187.1"
1004918,1,mnwwest,"121.98.154.19, 130.176.150.143"
1005618,1,mnwwest,"177.236.6.101, 15.158.29.119"
1006518,1,mnwwest,"185.254.25.125, 64.252.132.134"
1006618,1,mnwwest,"177.142.208.97, 130.176.40.132"
1007418,1,mnwwest,"112.207.230.14, 130.176.93.134"
1007518,1,mnwwest,"186.12.28.139, 130.176.220.15"
1010518,1,mnwwest,"189.195.194.69, 130.176.174.13"
1011218,1,mnwwest,"45.231.59.211, 15.158.19.146"
1001119,1,mnwwest,"177.240.48.221, 15.158.29.74"
1001419,1,mnwwest,"103.180.201.254, 130.176.93.16"
1003319,1,mnwwest,"185.154.0.69, 15.158.55.118"
1003419,1,mnwwest,"177.105.131.115, 130.176.40.15"
1006619,1,mnwwest,"170.80.240.30, 70.132.6.137"
1007419,1,mnwwest,"92.40.201.182, 130.176.222.120"
1008319,1,mnwwest,"174.196.138.247, 70.132.59.83"
1008419,1,mnwwest,"109.181.85.209, 130.176.97.153"
1010019,1,mnwwest,"164.163.102.24, 130.176.164.11"
1000420,1,mnwwest,"175.138.94.142, 130.176.7.95"
1001320,1,mnwwest,"112.200.195.122, 130.176.93.86"
1002220,1,mnwwest,"115.147.13.112, 130.176.25.96"
1003520,1,mnwwest,"179.96.135.204, 15.158.19.146"
1003720,1,mnwwest,"186.138.5.6, 130.176.220.47"
1007520,1,mnwwest,"189.154.159.198, 15.158.29.84"
1008220,1,mnwwest,"190.230.231.142, 130.176.220.5"
1008520,1,mnwwest,"177.226.152.118, 15.158.29.119"
1009520,1,mnwwest,"212.57.87.96, 15.158.55.118"
1009920,1,mnwwest,"92.187.122.35, 130.176.170.160"
1011320,1,mnwwest,"174.0.153.39, 64.252.140.87"
1000321,1,mnwwest,"189.129.141.59, 15.158.15.37"
1002121,1,mnwwest,"58.71.166.52, 130.176.7.158"
1002521,1,mnwwest,"176.80.185.206, 15.158.55.71"
1003221,1,mnwwest,"177.51.109.29, 130.176.40.139"
1003621,1,mnwwest,"143.137.152.123, 52.46.43.70"
1004221,1,mnwwest,"177.240.176.66, 15.158.29.116"
1004521,1,mnwwest,"158.62.36.14, 15.158.29.84"
1005021,1,mnwwest,"189.231.152.109, 15.158.29.74"
1008021,1,mnwwest,"177.51.246.56, 15.158.8.144"
1010521,1,mnwwest,"159.196.169.48, 130.176.212.10"
1010621,1,mnwwest,"110.54.172.138, 130.176.93.86"
1000922,1,mnwwest,"86.3.93.60, 64.252.166.91"
1002022,1,mnwwest,"168.196.21.251, 15.158.8.136"
1003422,1,mnwwest,"45.230.65.171, 130.176.220.53"
1003622,1,mnwwest,"69.157.26.150, 15.158.17.112"
1003822,1,mnwwest,"86.14.218.213, 64.252.166.67"
1004922,1,mnwwest,"124.13.84.3, 130.176.7.144"
1005022,1,mnwwest,"14.192.209.17, 130.176.7.159"
1005322,1,mnwwest,"122.11.138.135, 130.176.187.10"
1006622,1,mnwwest,"213.205.200.42, 70.132.49.81"
1007722,1,mnwwest,"138.255.216.102, 15.158.19.146"
1007922,1,mnwwest,"50.71.92.58, 15.158.2.21"
1008522,1,mnwwest,"186.19.123.79, 130.176.220.53"
1009522,1,mnwwest,"79.168.92.120, 64.252.170.161"
1009822,1,mnwwest,"181.209.100.154, 130.176.220.1"
1011422,1,mnwwest,"172.58.100.20, 70.132.9.99"
1000623,1,mnwwest,"187.161.9.38, 130.176.56.141"
1001823,1,mnwwest,"49.245.45.63, 64.252.188.73"
1002623,1,mnwwest,"45.230.233.245, 15.158.19.167"
1002923,1,mnwwest,"179.127.139.42, 130.176.40.165"
1003223,1,mnwwest,"179.0.74.7, 130.176.164.145"
1003523,1,mnwwest,"201.75.188.106, 130.176.40.100"
1003923,1,mnwwest,"168.195.62.204, 15.158.8.144"
1005123,1,mnwwest,"191.7.141.205, 15.158.8.146"
1005923,1,mnwwest,"122.58.71.104, 130.176.150.137"
1009723,1,mnwwest,"107.202.121.21, 130.176.210.78"
1009823,1,mnwwest,"174.61.9.64, 130.176.210.82"
1011023,1,mnwwest,"201.141.36.232, 15.158.29.87"
1001824,1,mnwwest,"210.185.179.101, 130.176.187.7"
1001924,1,mnwwest,"136.158.43.16, 130.176.25.136"
1002224,1,mnwwest,"49.145.5.217, 130.176.93.134"
1004424,1,mnwwest,"138.59.137.171, 15.158.19.146"
1005524,1,mnwwest,"82.20.35.234, 130.176.222.73"
1006924,1,mnwwest,"190.177.189.86, 130.176.220.46"
1007224,1,mnwwest,"168.227.34.30, 15.158.19.167"
1007524,1,mnwwest,"168.181.224.57, 15.158.8.136"
1008324,1,mnwwest,"45.178.239.210, 52.46.43.110"
1009124,1,mnwwest,"80.174.88.252, 15.158.55.117"
1009424,1,mnwwest,"181.80.39.5, 130.176.220.15"
1009724,1,mnwwest,"108.67.50.209, 15.158.15.37"
1010224,1,mnwwest,"90.206.194.255, 130.176.222.70"
1010924,1,mnwwest,"45.233.80.197, 130.176.40.100"
1000125,1,mnwwest,"177.72.85.253, 15.158.19.167"
1002125,1,mnwwest,"182.255.43.210, 130.176.93.139"
1002725,1,mnwwest,"170.80.237.191, 15.158.19.146"
1005325,1,mnwwest,"181.209.80.186, 130.176.220.52"
1006225,1,mnwwest,"136.158.43.70, 130.176.93.161"
1006325,1,mnwwest,"170.81.167.170, 15.158.37.16"
1009825,1,mnwwest,"84.236.195.136, 15.158.55.79"
1000526,1,mnwwest,"158.62.10.155, 64.252.188.177"
1002726,1,mnwwest,"131.108.65.194, 15.158.8.136"
1005826,1,mnwwest,"49.144.173.74, 130.176.93.82"
1006126,1,mnwwest,"20.108.13.115, 130.176.6.159"
1007026,1,mnwwest,"186.206.129.16, 15.158.19.146"
1007526,1,mnwwest,"24.232.112.127, 130.176.220.52"
1007726,1,mnwwest,"177.70.194.218, 130.176.40.139"
1007926,1,mnwwest,"80.26.197.6, 15.158.55.104"
